category,product_name,price_display,mrp_optional,badge,short_desc,image_1_url,image_2_url,image_3_url,product_slug,status
Beds,Solid Sheesham King Bed,34999,42999,New,"Premium solid wood king bed with slatted headboard","https://images.unsplash.com/photo-1505691723518-36a5ac3b2d79?q=80&w=1200&auto=format&fit=crop","https://images.unsplash.com/photo-1616594039964-ae9021a6bd71?q=80&w=1200&auto=format&fit=crop","",solid-sheesham-king-bed,Active
Beds,Minimalist Platform Bed,29999,34999,,"Low-profile platform bed with clean lines","https://images.unsplash.com/photo-1549187774-b4e9b0445b41?q=80&w=1200&auto=format&fit=crop","","",minimalist-platform-bed,Active
Sofas,Chesterfield 3-Seater,44999,54999,Bestseller,"Classic tufted sofa in premium fabric","https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?q=80&w=1200&auto=format&fit=crop","https://images.unsplash.com/photo-1519710164239-da123dc03ef4?q=80&w=1200&auto=format&fit=crop","",chesterfield-3-seater,Active
Sofas,Modular L-Shape Sofa,59999,69999,Sale,"Spacious modular sofa with washable covers","https://images.unsplash.com/photo-1524758631624-e2822e304c36?q=80&w=1200&auto=format&fit=crop","","",modular-l-shape-sofa,Active
Dining,6-Seater Dining Set,39999,46999,,"Sheesham wood table with 6 upholstered chairs","https://images.unsplash.com/photo-1519710164239-da123dc03ef4?q=80&w=1200&auto=format&fit=crop","","",six-seater-dining-set,Active
Dining,Round Pedestal Table,27999,32999,New,"Compact round table ideal for apartments","https://images.unsplash.com/photo-1538688423619-a81d3f23454b?q=80&w=1200&auto=format&fit=crop","","",round-pedestal-table,Active
Storage,Solid Wood Wardrobe,49999,56999,,"Spacious wardrobe with hanging and shelf storage","https://images.unsplash.com/photo-1505691938895-1758d7feb511?q=80&w=1200&auto=format&fit=crop","","",solid-wood-wardrobe,Active
Storage,Shoe Cabinet with Seat,15999,19999,,"Entryway storage with cushioned seat","https://images.unsplash.com/photo-1556908365-2e6b5b30862a?q=80&w=1200&auto=format&fit=crop","","",shoe-cabinet-with-seat,Active
Beds,Upholstered Queen Bed,31999,38999,,"Soft upholstered headboard with storage option","https://images.unsplash.com/photo-1501045661006-fcebe0257c3f?q=80&w=1200&auto=format&fit=crop","","",upholstered-queen-bed,Active
Sofas,Recliner Armchair,21999,26999,,"Ergonomic recliner with lumbar support","https://images.unsplash.com/photo-1582582429416-08f1552c1511?q=80&w=1200&auto=format&fit=crop","","",recliner-armchair,Active
Dining,Sideboard Buffet,18999,23999,,"Storage sideboard with soft-close drawers","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?q=80&w=1200&auto=format&fit=crop","","",sideboard-buffet,Active
Storage,Bookshelf Ladder,9999,12999,,"Open shelving ladder in warm walnut finish","https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?q=80&w=1200&auto=format&fit=crop","","",bookshelf-ladder,Active
